#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
IV|CSNT|43.47311|11.29017|636|CASTELLINA IN CHIANTI|2003-03-01T00:00:00|
IV|CSOB|40.826469|14.143963|222.7|Solfatara Bordo Cratere - Stazione Osservatorio Vesuviano|2008-06-01T00:00:00|
IV|CSP1|43.091833|13.204833|1188.0|Cessapalombo|2011-10-19T12:00:00|
IV|CSSN|40.8609|15.0239|690|CASSANO IRPINO|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|CSTH|40.829447|14.149329|108.0|Solfatara Tennis Hotel - Stazione Osservatorio Vesuviano|2021-04-14T00:00:00|
IV|CTI|46.04818|11.6497|1180|CASTELLO TESINO|2003-03-01T00:00:00|
IV|CTL8|45.2763|9.7622|60.0|Castelleone|2009-10-13T16:00:00|
IV|CUMA|40.847875|14.05338|81.0||2024-06-27T00:00:00|
IV|DGI|40.31802|9.60668|354|DORGALI GROTTA ISPINIGOLI|2003-03-01T00:00:00|
IV|DOI|44.50415|7.24665|1039|SAN DAMIANO MACRA|2003-03-01T00:00:00|2015-09-08T15:33:00
IV|EBCN|37.752|14.9858|3135|Etna Bocca Nuova|2022-11-10T11:00:00|
IV|EBDA|37.6335|15.1223|350|Etna Bosco di Aci|2020-12-28T14:41:57|
IV|ECBD|37.7802|15.0865|1465|Etna Case Bada|2020-06-16T10:23:54|
IV|ECHR|37.6863|14.9129|1168|Santa Chiara|2008-06-04T12:00:00|
IV|ECNE|37.7653|15.0018|2946|ECNE|2020-06-11T13:52:51|
IV|ECNV|37.5956|14.7125|484|Catenanuova|2007-01-30T00:00:00|2017-09-09T14:10:00
IV|ECPN|37.7437|14.9865|3038|Etna Cratere del Piano|2020-06-16T12:32:09|
IV|ECTS|37.8825|15.1212|644|ECTS - Etna Castiglione di Sicilia|2007-07-18T12:00:00|
IV|ECZM|37.7313|14.9041|1391|Etna Case Zampini|2020-12-28T11:43:08|
IV|EFIU|37.7896|15.2103|97|Fiumefreddo di Sicilia|2020-06-11T14:12:09|
IV|EL6|43.329333|13.101667|978|Elcito|2011-10-18T12:00:00|
IV|EMAS|37.57919|15.05257|612|Mascalucia|2022-06-23T15:34:07|
IV|EMCN|37.7912|15.0336|1916|Monte Conca|2013-06-02T10:30:00|
IV|EMCO|37.9264|14.9029|1500|Etna Monte Colla|2024-10-22T13:47:01|
IV|EMFO|37.7357|15.0902|1209|Etna Monte Fontane|2020-12-28T13:40:05|
IV|EMFS|37.7196|14.9979|2552|Etna Monte Frumento Supino|2020-12-28T13:47:51|
IV|EMNR|37.8168|15.026|1845|Etna Monte Nero|2020-12-28T13:54:55|
IV|EMPL|37.679|14.9703|1484|EMPL - Etna Monte Parmentelli, Italy|2008-06-18T11:00:00|
IV|EMSA|37.498|14.945|140|Motta Sant Anastasia (CT)|2022-04-29T12:00:00|
IV|EMSG|37.8208|14.9498|1435|EMSG|2013-10-30T09:53:56|
IV|ENIC|37.6314|15.0216|877|ENIC|2013-03-15T14:48:49|
IV|EPDN|37.7659|15.0168|2862|Etna Pizzi Deneri|2020-12-28T14:07:40|
IV|EPIT|37.8113|15.0567|1657|Pozzo Pitarrone, Linguaglossa, Catania|2012-01-26T10:41:00|
IV|EPLC|37.7651|14.9857|2698|Etna Punta Lucia|2024-01-04T14:45:25|
IV|EPMN|37.8204|15.1773|541|Piedimonte Etneo|2022-04-22T10:38:47|
IV|EPOZ|37.6719|15.1885|124|EPOZ|2013-03-15T14:40:46|
IV|EPZF|37.824|14.857|1140|Pizzo Felice|2013-11-14T13:16:39|
IV|ERBM|44.41945|10.41268|933|EREMO DI BISMANTOVA|2003-03-01T00:00:00|
IV|ERC|38.03763|12.5873|776|ERICE|2003-03-01T00:00:00|
IV|ESAL|37.7551|15.1345|768|Etna Sant Alfio|2021-01-08T11:00:00|
IV|ESCV|37.747|14.8152|640|Etna Scorciavacca|2020-12-28T14:14:55|
IV|ESLN|37.6934|14.9744|1787|Serra La Nave|2005-07-10T00:00:00|
IV|ESML|37.6181|14.8794|417|ESML|2013-03-15T10:18:23|
IV|ESPC|37.6925|15.0274|1655|Etna Serra Pizzuta Calvarina|2020-12-28T14:24:10|
IV|ESVO|37.7731|14.9469|1736|Etna Monte Scavo|2020-12-28T14:30:28|
IV|EUCT|45.2026|9.1349|82.0|Pavia|2014-04-11T14:28:54|
IV|EVRN|37.6892|15.1356|421|Santa Venerina|2010-01-20T10:36:00|
IV|FAEN|44.2895|11.877|41|Faenza|2007-09-17T12:00:00|
IV|FAGN|42.26573|13.58379|761.0|FAGNANO|2004-05-14T00:00:00|
IV|FANO|43.843471|13.018354|15|Fano|2014-05-22T15:02:00|
IV|FAVA|37.328791|13.659995|370.0|FAVA|2022-05-04T10:11:32|
IV|FAVR|37.2671|13.667|289|FAVARA 2|2003-03-01T00:00:00|2019-09-05T23:30:00
IV|FCOR|43.76911|12.81459|555|Fonte Corniale (PU)|2014-01-09T15:19:00|
IV|FDMO|43.0365|13.0873|550.0|Fiordimonte|2008-03-27T12:45:00|
IV|FELT|46.0729|11.9275|520.0|Feltre|2024-03-22T16:00:00|
IV|FEMA|42.9621|13.04976|1370|Monte Fema|2009-09-23T09:46:00|
IV|FENE|45.029845|7.060438|1170.0|Fenestrelle (TO)|2025-12-04T17:00:00|
IV|FERC|38.45271|16.12807|460.0|GALATRO|2019-06-03T09:56:42|2023-10-04T08:12:31
IV|FERS|44.9035|11.5406|3.0|FERS|2013-02-08T15:00:00|
IV|FG2|41.8048|15.16092|241|SERRACAPRIOLA|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|FG4|41.13197|15.51752|450|CANDELA|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|FG5|41.2825|15.26778|660|ORSARA DI PUGLIA|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|FGMS|41.70788|15.95345|848|MONTE SANT ANGELO 2|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|FIAM|42.26802|13.11718|1070|FIAMIGNANO|2004-07-12T10:00:00|
IV|FIR|43.774366|11.255134|40|Firenze|2009-10-14T16:00:00|
IV|FIU|44.64031|11.49165|12|FONDO FIUMICELLO (MINERBIO)|2003-03-12T00:00:00|
IV|FIU1|43.188561|12.931604|479.0|Fiuminata|2011-03-14T10:56:00|
IV|FNVD|44.16782|11.1229|950|FONTANA VIDOLA|2003-10-27T00:00:00|
IV|FOSV|43.29483|12.76117|559|Fossato di Vico|2011-08-02T10:00:00|
IV|FRE8|46.015|12.3552|543|Fregona|2011-03-31T17:00:00|2021-03-16T14:00:00
IV|FREG|46.011092|12.312986|500|Fregona|2020-02-05T00:00:00|
IV|FRES|41.97351|14.66926|414.0|Fresagrandinaria|2004-09-17T10:00:00|
IV|FRON|43.51777|12.72572|515|Frontone|2010-04-19T11:00:00|
IV|FSSB|43.69309|12.77707|523.0|FOSSOMBRONE|2003-03-01T00:00:00|2019-09-27T09:46:00
IV|FVI|46.59658|12.7804|1024.0|FORNI AVOLTRI|2003-03-01T00:00:00|
IV|GAG1|43.238063|13.067434|484|Gagliole|2011-03-15T11:00:00|
IV|GALF|37.7107|14.5665|740|Gagliano Castelferrato|2006-10-27T12:00:00|
IV|GATE|41.513145|14.910201|487.0|Gambatesa|2009-11-03T14:00:00|
IV|GAVE|42.6922|12.8942|1161|Gavelli|2017-10-06T07:59:59|
IV|GIB|37.990126|14.026023|1020|GIBILMANNA|2003-03-01T00:00:00|
IV|GIGS|42.453167|13.572833|960|GIGS|2015-02-16T12:17:00|
IV|GIO|37.56667|15.10833|200|MONTE SAN GREGORIO|2004-04-14T10:00:00|2013-03-13T00:00:00
IV|GIUL|41.55827|13.25458|566|GIULIANO DI ROMA|2003-03-01T00:00:00|
IV|GIZZ|38.97983|16.20777|713.0|GIZZ|2021-01-11T14:30:00|
IV|GMB|38.16807|15.82888|1300|GAMBARIE|2003-03-01T00:00:00|2020-10-20T23:59:00
IV|GMB1|38.1723|15.8179|1198|GMB1|2023-07-04T17:00:00|
IV|GMNA|46.2798|13.13832|250|GEMONA|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|GRFL|43.14717|10.97545|750|GERFALCO|2003-03-01T00:00:00|2011-04-01T00:00:00
IV|GRI|38.82213|16.42002|510.0|GIRIFALCO|2003-03-01T00:00:00|
IV|GRIS|39.7405|15.8531|551|Grisolia|2017-08-01T09:12:30|
IV|GROG|43.42618|9.89201|118|Isola di Gorgona|2005-06-23T16:24:00|2018-09-19T08:00:00
IV|GUAR|41.7945|13.31229|741|GUARCINO|2003-05-29T00:00:00|
IV|GUMA|43.0627|13.3352|574|Gualdo di Macerata|2007-10-18T12:00:00|
IV|HAGA|37.2858|15.1552|176|HAGA - Augusta (SR), Italy|2005-02-17T00:00:00|
IV|HAVL|36.9596|15.122|495|HAVL - Avola (RG), Italy|2008-06-18T00:00:00|
IV|HBSP|37.127|14.492|255|Bosco Santo Pietro (Catania)|2012-10-18T10:35:49|2018-01-30T12:55:00
IV|HCRL|37.2831|15.0323|191|HCRL - Carlentini (SR), Italy|2008-03-31T00:00:00|
IV|HLNI|37.3485|14.872|146|Lentini Masseria Cucco|2009-02-27T16:00:00|
IV|HMDC|36.959|14.7831|595|Modica|2005-05-11T00:00:00|
IV|HPAC|36.7085|15.0372|70|HPAC|2012-11-21T14:06:31|
IV|HSRS|37.0928|15.222|100|Siracusa Targia Epipoli (Belvedere)|2021-01-14T13:31:07|
IV|HVIT|36.9926|14.5216|296|Vittoria (Ragusa)|2021-03-22T08:34:32|
IV|HVZN|37.1783|14.7155|787|Vizzini|2005-07-10T00:00:00|
